Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Maintenance Facility (Service and Inspection),Heavy Maintenance & Overhaul (Backshop),General Purpose Maintenance Facility/Depot,Vehicle Washing Facility,Vehicle Blow-Down Facility,Vehicle Fueling Facility,Vehicle Testing Facility,Maintenance Facilities,Administrative Office / Sales Office,Revenue Collection Facility,Combined Administrative and Maintenance Facility,"Other, Administrative & Maintenance",Administrative and Other Non-Passenger Facilities,Bus Transfer Center,Elevated Fixed Guideway Station,At-Grade Fixed Guideway Station,Underground Fixed Guideway Station,Simple At-Grade Platform Station,Exclusive Grade-Separated Platform Station,Ferryboat Terminal,Passenger Stations and Terminals,Surface Parking Lot,Parking Structure,"Other, Passenger or Parking",Parking and Other Passenger Facilities,Total Facilities
Ulster County,Kingston,NY,20178,"City, County or Local Government Unit or Department of Transportation",Full Reporter,71803,"Poughkeepsie--Newburgh, NY","314,766",30,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
MTA Bus Company,New York,NY,20188,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,134",6,0,0,0,0,0,0,6,0,0,2,0,2,2,0,0,0,0,0,0,2,0,0,0,0,10
"Port Imperial Ferry Corporation, dba: NY Waterway",Weehawken,NJ,20190,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",36,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,10,10,0,0,0,0,12
"Bergen County, dba: Bergen County Community Transportation",Hackensack,NJ,20192,"City, County or Local Government Unit or Department of Transportation",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",47,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
County of Atlantic,Atlantic City,NJ,20199,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3904,"Atlantic City--Ocean City--Villas, NJ","294,921",33,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Senior Citizens United Community Services of Camden County, Inc.",Audubon,NJ,20204,Private-Non-Profit Corporation,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125",47,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"County of Nassau, dba: Nassau Inter County Express",Mineola,NY,20206,"City, County or Local Government Unit or Department of Transportation",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",319,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,3
"Somerset County, dba: Somerset County Transportation",Somerville,NJ,20209,"City, County or Local Government Unit or Department of Transportation",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",57,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Hampton Jitney, Inc.",Calverton,NY,20217,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",55,2,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
Cape May Lewes Ferry,New Castle,DE,20223,Independent Public Agency or Authority of Transit Service,Full Reporter,3904,"Atlantic City--Ocean City--Villas, NJ","294,921",3,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,4
"SeaStreak, LLC",Atlantic Highlands,NJ,20226,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,11
"Enterprise Holdings, LLC",Syracuse,NY,20228,Private Provider Reporting on Behalf of a Public Entity,Full Reporter,86302,"Syracuse, NY","413,660",1,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
New York City Economic Development Corporation,New York,NY,22930,Private-Non-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,25
Kanawha Valley Regional Transportation Authority,Charleston,WV,30001,Independent Public Agency or Authority of Transit Service,Full Reporter,15481,"Charleston, WV","140,958",44,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,3
The Tri-State Transit Authority,Hunnington,WV,30002,Independent Public Agency or Authority of Transit Service,Full Reporter,40753,"Huntington, WV--KY--OH","200,157",33,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,2,4
Greater Roanoke Transit Company,Roanoke,VA,30007,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,75421,"Roanoke, VA","217,312",41,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Greater Lynchburg Transit Company,Lynchburg,VA,30008,Independent Public Agency or Authority of Transit Service,Full Reporter,52201,"Lynchburg, VA","125,596",18,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Lehigh and Northampton Transportation Authority,Allentown,PA,30010,Independent Public Agency or Authority of Transit Service,Full Reporter,1495,"Allentown--Bethlehem, PA--NJ","621,703",118,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,3,0,0,0,0,5
"Altoona Metro Transit, dba: AMTRAN",Altoona,PA,30011,Independent Public Agency or Authority of Transit Service,Full Reporter,1792,"Altoona, PA","74,426",33,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Cambria County Transit Authority,Johnstown,PA,30012,Independent Public Agency or Authority of Transit Service,Full Reporter,43291,"Johnstown, PA","61,521",46,0,0,1,0,0,0,0,1,0,0,2,0,2,1,0,1,0,1,0,0,3,0,1,0,1,7
Erie Metropolitan Transit Authority,Erie,PA,30013,Independent Public Agency or Authority of Transit Service,Full Reporter,27766,"Erie, PA","187,820",78,1,0,1,0,0,0,0,2,1,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,5
"Cumberland Dauphin-Harrisburg Transit Authority, dba: Capital Area Transit",,PA,30014,Independent Public Agency or Authority of Transit Service,Full Reporter,37081,"Harrisburg, PA","490,859",115,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Luzerne County Transportation Authority,Kingston,PA,30015,Independent Public Agency or Authority of Transit Service,Full Reporter,80227,"Scranton, PA","366,713",62,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",23,0,0,0,0,0,0,23,0,0,0,5,5,21,20,175,44,45,5,0,310,132,3,0,135,473
Port Authority of Allegheny County,Pittsburgh,PA,30022,Independent Public Agency or Authority of Transit Service,Full Reporter,69697,"Pittsburgh, PA","1,745,039",823,7,1,5,0,0,0,0,13,1,1,0,1,3,0,7,67,0,0,0,0,74,25,1,0,26,116
Beaver County Transit Authority,Rochester,PA,30023,Independent Public Agency or Authority of Transit Service,Full Reporter,69697,"Pittsburgh, PA","1,745,039",30,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2
County of Lackawanna Transit System,Scranton,PA,30025,Independent Public Agency or Authority of Transit Service,Full Reporter,80227,"Scranton, PA","366,713",72,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
"City of Williamsport, dba: River Valley Transit",Williamsport,PA,30026,"City, County or Local Government Unit or Department of Transportation",Full Reporter,95455,"Williamsport, PA","55,344",31,0,0,0,0,0,1,0,1,0,0,1,0,1,3,0,0,0,0,0,0,3,0,0,0,0,5
Central Pennsylvania Transportation Authority,York,PA,30027,Independent Public Agency or Authority of Transit Service,Full Reporter,97750,"York, PA","238,549",352,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,0,2,2,0,0,2,7
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",13,0,42,8,0,3,1,67,14,1,0,46,61,1,8,36,47,0,0,0,92,49,28,0,77,297
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",0,0,53,3,0,0,0,56,11,0,0,0,11,2,2,45,7,35,0,0,91,78,3,0,81,239
Ohio Valley Regional Transportation Authority,Wheeling,WV,30035,Independent Public Agency or Authority of Transit Service,Full Reporter,94726,"Wheeling, WV--OH","57,695",17,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2
"Westmoreland County , dba: Westmoreland County Transit Authority",Greensburg,PA,30044,"City, County or Local Government Unit or Department of Transportation",Full Reporter,69697,"Pittsburgh, PA","1,745,039",73,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"JAUNT, Inc.",Charlottesville,VA,30045,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,15724,"Charlottesville, VA","104,191",64,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Montgomery County, Maryland, dba: Ride On, Montgomery County Transit",Rockville,MD,30051,"City, County or Local Government Unit or Department of Transportation",Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",288,0,0,4,0,0,0,0,4,4,0,1,0,5,2,0,0,0,0,0,0,2,0,0,0,0,11
Centre Area Transportation Authority,State College,PA,30054,Independent Public Agency or Authority of Transit Service,Full Reporter,84493,"State College, PA","83,674",88,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,3
Pennsylvania Department of Transportation,Harrisburg,PA,30057,State Government Unit or Department of Transportation,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,12
"City of Fairfax, dba: CUE Bus",Fairfax,VA,30058,"City, County or Local Government Unit or Department of Transportation",Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",8,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Mid Mon Valley Transit Authority,Charleroi,PA,30061,Independent Public Agency or Authority of Transit Service,Full Reporter,69697,"Pittsburgh, PA","1,745,039",22,1,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,3,6
"Frederick County, Maryland, dba: TransIT Services of Frederick County",Frederick,MD,30072,"City, County or Local Government Unit or Department of Transportation",Full Reporter,31519,"Frederick, MD","176,456",36,1,0,0,1,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4
Virginia Railway Express,Alexandria,VA,30073,Independent Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",99,2,0,2,1,0,0,0,5,2,0,0,5,7,0,2,0,0,1,16,0,19,14,3,0,17,48
Delaware Transit Corporation,Dover,DE,30075,Independent Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125",528,0,0,4,0,0,0,0,4,1,0,3,0,4,1,0,3,0,0,0,0,4,6,2,7,15,27
Williamsburg Area Transit Authority,Williamsburg,VA,30076,Independent Public Agency or Authority of Transit Service,Full Reporter,95411,"Williamsburg, VA","89,585",15,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
"Borough of Pottstown, dba: Pottstown Area Rapid Transit",Pottstown,PA,30077,"City, County or Local Government Unit or Department of Transportation",Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125",6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2
Southwestern Pennsylvania Commission,Pittsburgh,PA,30078,"MPO, COG or Other Planning Agency",Full Reporter,69697,"Pittsburgh, PA","1,745,039",11,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Arlington County, Virginia, dba: Arlington Transit",Arlington,VA,30080,"City, County or Local Government Unit or Department of Transportation",Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",71,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,8,0,1,0,11,0,0,0,0,12
"Loudoun County, dba: Loudoun County Transit",Leesburg,VA,30081,"City, County or Local Government Unit or Department of Transportation",Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",51,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",Hampton,VA,30083,Independent Public Agency or Authority of Transit Service,Full Reporter,90892,"Virginia Beach--Norfolk, VA","1,451,578",348,5,0,0,0,0,0,0,5,3,0,1,1,5,4,1,10,0,0,0,4,19,3,0,0,3,32
"Prince George's County, Maryland, dba: Prince George's County Transit",Upper Marlboro,MD,30085,"City, County or Local Government Unit or Department of Transportation",Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",93,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,5,6
"County of Fayette, dba: Fayette Area Coordinated Transportation",Uniontown,PA,30087,"City, County or Local Government Unit or Department of Transportation",Full Reporter,42,Pennsylvania Non-UZA,"4,196,634",26,0,0,2,1,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,5
"County Commissioners of Charles County, MD",La Plata,MD,30088,"City, County or Local Government Unit or Department of Transportation",Full Reporter,91261,"Waldorf, MD","118,601",30,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,3
"Town of Blacksburg, dba: Blacksburg Transit",Blacksburg,VA,30091,"City, County or Local Government Unit or Department of Transportation",Full Reporter,8002,"Blacksburg--Christiansburg, VA","72,400",41,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"City of Harrisonburg, dba: Harrisonburg Department of Public Transportation",Harrisonburg,VA,30094,"City, County or Local Government Unit or Department of Transportation",Full Reporter,37162,"Harrisonburg, VA","73,377",40,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
County of Lebanon Transit Authority,Lebanon,PA,30095,Independent Public Agency or Authority of Transit Service,Full Reporter,48664,"Lebanon, PA","75,485",24,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,1,3,0,0,3,6
The Tri-County Council for the Lower Eastern Shore of Maryland,Salisbury,MD,30096,Independent Public Agency or Authority of Transit Service,Full Reporter,78364,"Salisbury, MD--DE","78,075",32,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
West Virginia University - Morgantown Personal Rapid Transit,Morgantown,WV,30107,University,Full Reporter,59275,"Morgantown, WV","77,620",48,1,0,0,0,0,0,0,1,0,0,1,0,1,0,4,1,0,0,0,0,5,0,0,0,0,7
"Washington County Transportation Authority, dba: Freedom Transit",Washington,PA,30111,Independent Public Agency or Authority of Transit Service,Full Reporter,69697,"Pittsburgh, PA","1,745,039",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Anne Arundel County,Annapolis,MD,30129,"City, County or Local Government Unit or Department of Transportation",Full Reporter,4843,"Baltimore, MD","2,212,038",31,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Monroe County Transportation  Authority,Swiftwater,PA,30137,Independent Public Agency or Authority of Transit Service,Full Reporter,42,Pennsylvania Non-UZA,"4,196,634",28,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
City of Baltimore,Baltimore,MD,30201,"City, County or Local Government Unit or Department of Transportation",Full Reporter,4843,"Baltimore, MD","2,212,038",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5
South Central Transit Authority,Lancaster,PA,30202,Independent Public Agency or Authority of Transit Service,Full Reporter,47530,"Lancaster--Manheim, PA","394,530",163,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,2,0,2,1,3,7
"Transit Management of Central Maryland, Inc.",Annapolis Junction,MD,30205,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,4843,"Baltimore, MD","2,212,038",50,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3
Chattanooga Area Regional Transportation Authority,Chattanooga,TN,40001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,15832,"Chattanooga, TN--GA","398,569",86,2,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,6,10
"City of Knoxville, dba: Knoxville Area Transit",Knoxville,TN,40002,"City, County or Local Government Unit or Department of Transportation",Full Reporter,45640,"Knoxville, TN","597,257",71,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
"City of Memphis, dba: Memphis Area Transit Authority",Memphis,TN,40003,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56116,"Memphis, TN--MS--AR","1,056,190",137,1,0,0,0,0,0,0,1,2,0,1,3,6,3,0,0,0,5,0,0,8,0,0,1,1,16
Metropolitan Transit Authority,Madison,TN,40004,Independent Public Agency or Authority of Transit Service,Full Reporter,61273,"Nashville-Davidson, TN","1,158,642",239,0,0,0,0,0,1,0,1,0,0,2,0,2,4,0,0,0,0,0,0,4,1,1,0,2,9
"City of Asheville, dba: ART (Asheville Redefines Transit)",Asheville,NC,40005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,3358,"Asheville, NC","285,776",19,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
"Cape Fear Public Transportation Authority, dba: Wave Transit",Wilmington,NC,40006,Independent Public Agency or Authority of Transit Service,Full Reporter,95833,"Wilmington, NC","255,329",43,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,3
"City of Raleigh, dba: GoRaleigh",Raleigh,NC,40007,"City, County or Local Government Unit or Department of Transportation",Full Reporter,73261,"Raleigh, NC","1,106,646",262,0,0,1,1,0,1,0,3,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,6
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",Charlotte,NC,40008,"City, County or Local Government Unit or Department of Transportation",Full Reporter,15670,"Charlotte, NC--SC","1,379,873",289,0,0,0,0,0,0,0,0,0,0,4,0,4,4,9,17,0,0,0,0,30,6,4,0,10,44
"City of Fayetteville, dba: Fayetteville Area System of Transit",Fayetteville,NC,40009,"City, County or Local Government Unit or Department of Transportation",Full Reporter,29440,"Fayetteville, NC","325,008",37,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
"City of Winston Salem, dba: Winston-Salem Transit Authority",Winston Salem,NC,40012,Independent Public Agency or Authority of Transit Service,Full Reporter,96670,"Winston-Salem, NC","420,924",58,1,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,4
"Ms Coast Transportation Authority, dba: Coast Transit Authority",Gulfport,MS,40014,Independent Public Agency or Authority of Transit Service,Full Reporter,35920,"Gulfport--Biloxi, MS","236,344",68,0,0,0,0,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,9,2,1,0,3,13
"City of Jackson, MS, dba: JTRAN-City of Jackson, MS",Jackson,MS,40015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,42211,"Jackson, MS","347,693",28,1,0,0,0,0,1,0,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4
"Lexington Transit Authority, dba: Lextran",Lexington,KY,40017,Independent Public Agency or Authority of Transit Service,Full Reporter,49582,"Lexington-Fayette, KY","315,631",95,1,0,0,1,0,2,0,4,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,6
Transit Authority of River City,Louisville,KY,40018,Independent Public Agency or Authority of Transit Service,Full Reporter,51755,"Louisville/Jefferson County, KY--IN","974,397",300,0,1,2,0,0,0,0,3,3,0,2,1,6,2,0,0,0,0,0,0,2,0,0,0,0,11
Transit Authority of Northern Kentucky,Covington,KY,40019,Independent Public Agency or Authority of Transit Service,Full Reporter,16885,"Cincinnati, OH--KY","1,686,744",121,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,3,1,0,4,6
"City of Albany , dba: Albany Transit System",,GA,40021,"City, County or Local Government Unit or Department of Transportation",Full Reporter,901,"Albany, GA","85,960",15,1,0,0,1,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4
Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,40022,Independent Public Agency or Authority of Transit Service,Full Reporter,3817,"Atlanta, GA","5,100,112",812,8,3,6,3,0,0,0,20,9,0,0,0,9,1,13,13,12,12,0,0,51,27,4,0,31,111
Augusta Richmond County Transit Department,Augusta,GA,40023,"City, County or Local Government Unit or Department of Transportation",Full Reporter,4222,"Augusta-Richmond County, GA--SC","431,480",19,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Chatham Area Transit Authority,Savannah,GA,40025,Independent Public Agency or Authority of Transit Service,Full Reporter,79768,"Savannah, GA","309,466",62,1,1,1,1,0,1,0,5,2,1,0,0,3,1,0,0,0,0,0,3,4,2,0,2,4,16
"Manatee County Board of County Commissioners, dba: Manatee County Area Transit",Sarasota,FL,40026,"City, County or Local Government Unit or Department of Transportation",Full Reporter,9536,"Bradenton--Sarasota--Venice, FL","779,075",49,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,3,0,0,0,0,4
Pinellas Suncoast Transit Authority,Saint Petersburg,FL,40027,Independent Public Agency or Authority of Transit Service,Full Reporter,86599,"Tampa--St. Petersburg, FL","2,783,045",270,0,0,0,0,0,0,0,0,2,1,1,0,4,4,0,0,0,0,0,0,4,1,0,0,1,9
"Lee County Transit, dba: LeeTran",Fort Myers,FL,40028,"City, County or Local Government Unit or Department of Transportation",Full Reporter,13510,"Cape Coral, FL","599,242",91,0,0,1,1,0,1,0,3,1,0,0,1,2,4,0,0,0,0,0,0,4,0,0,0,0,9
"Broward County Board of County Commissioners, dba: Broward County Transit Division",Fort Lauderdale,FL,40029,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",509,0,0,2,1,0,0,0,3,1,0,0,2,3,6,0,0,0,0,0,0,6,0,0,0,0,12
"City of Gainesville, FL, dba: Regional Transit System",Gainesville,FL,40030,"City, County or Local Government Unit or Department of Transportation",Full Reporter,32167,"Gainesville, FL","213,748",142,1,0,0,1,0,1,0,3,1,0,0,1,2,2,0,0,0,0,0,0,2,1,0,0,1,8
Lakeland Area Mass Transit District,Lakeland,FL,40031,Independent Public Agency or Authority of Transit Service,Full Reporter,46828,"Lakeland, FL","277,915",71,1,0,0,0,0,0,0,1,3,1,0,0,4,2,0,0,0,0,0,0,2,1,0,0,1,8
"County of Volusia, dba: VOTRAN",Daytona Beach,FL,40032,"City, County or Local Government Unit or Department of Transportation",Full Reporter,22612,"Daytona Beach--Palm Coast--Port Orange, FL","402,126",147,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",4,0,3,7,0,5,1,20,5,3,2,12,22,5,43,1,0,0,0,0,49,26,10,6,42,133
