Agency,Number of Operating Fleets,Ridership,Service Area Population,Service Area Sq Miles,Primary UZA Area Sq Miles,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal),Compressed Natural Gas (gal),Bio Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kWh),Electric Battery (kWh),Total Diesel (gal),Total kWh,NTD ID,City,State,UZA Name,Total Operating Hours,Total Employees
"Central Oklahoma Transportation and Parking Authority, dba: EMBARK",432,4103488,783134.0,283.0,421.73,431359.0,4389.0,0.0,427223.0,0.0,0.0,1594300.0,56533.0,862971.0,1650833.0,60017.0,Oklahoma City,OK,"Oklahoma City, OK",,256.0
"Central Oregon Intergovernmental Council, dba: Cascades East Transit",205,1081042,156297.0,78.0,42.41,72213.0,60376.0,0.0,0.0,0.0,0.0,0.0,0.0,132589.0,0.0,,,,,,
Central Pennsylvania Transportation Authority,2464,8439961,1232111.0,5060.0,113.08,83863.0,888378.0,0.0,286795.0,0.0,0.0,0.0,0.0,1259036.0,0.0,30027.0,York,PA,"York, PA",,136.0
"Central Puget Sound Regional Transit Authority, dba: Sound Transit",1926,22931261,3306990.0,1087.0,982.52,2724801.0,0.0,0.0,356918.0,519503.0,0.0,40242833.0,0.0,3601222.0,40242833.0,40.0,Seattle,WA,"Seattle--Tacoma, WA",,
Central Shenandoah Planning District Commission,36,0,50150.0,25.0,39.15,,,,,,,,,,,,,,,,
Central Texas Rural Transit District,58,0,,,,,,,,,,,,,,,,,,,
Central West Virginia Transit Authority,40,0,,,,,,,,,,,,,,,,,,,
Centre Area Transportation Authority,264,2602386,104135.0,92.0,25.92,0.0,50827.0,0.0,452565.0,0.0,0.0,0.0,0.0,503392.0,0.0,30054.0,State College,PA,"State College, PA",,168.7
Centre County Transportation,23,0,662047.0,186.0,25.92,,,,,,,,,,,,,,,,
Champaign County,16,0,,,,,,,,,,,,,,,,,,,
Champaign Transit System,9,0,,,,,,,,,,,,,,,,,,,
Champaign-Urbana Mass Transit District,315,3447544,135495.0,41.0,46.52,3100.0,54995.0,0.0,0.0,589311.0,0.0,0.0,0.0,647406.0,0.0,50060.0,Urbana,IL,"Champaign, IL",,359.08
Charleston Area Regional Transportation Authority,231,3536120,356082.0,138.0,339.06,453312.0,91193.0,0.0,0.0,0.0,0.0,0.0,985280.0,544505.0,985280.0,,,,,,
Charlevoix County Public Transportation,18,0,106179.0,442.0,,,,,,,,,,,,,,,,,
"Charlotte County Government, dba: Charlotte County Transit Division",34,466622,186847.0,231.0,134.69,19241.0,25376.0,0.0,0.0,0.0,0.0,0.0,0.0,44617.0,0.0,40129.0,Port Charlotte,FL,"Port Charlotte--North Port, FL",,2.13
Chase County,7,0,,,,,,,,,,,,,,,,,,,
Chatham Area Transit Authority,248,2875219,296329.0,331.0,205.85,43652.0,100977.0,0.0,0.0,426880.0,0.0,0.0,96600.0,571509.0,96600.0,40025.0,Savannah,GA,"Savannah, GA",,302.82
Chatham Transit Network,36,0,,,,,,,,,,,,,,,,,,,
Chattanooga Area Regional Transportation Authority,258,2434529,181370.0,289.0,291.7,346388.0,118953.0,0.0,0.0,0.0,0.0,96320.0,717100.0,465341.0,813420.0,40001.0,Chattanooga,TN,"Chattanooga, TN--GA",,200.08
Chattooga County Transit,4,0,,,,,,,,,,,,,,,,,,,
Chautauqua County,50,0,50269.0,142.0,,,,,,,,,,,,,,,,,
"Chelan Douglas PTBA , dba: Link Transit",156,2647784,108660.0,197.0,32.6,139295.0,158398.0,0.0,0.0,0.0,0.0,0.0,1065280.0,297693.0,1065280.0,43.0,Wenatchee,WA,"Wenatchee, WA",,160.13
Chemehuevi Indian Tribe,1,0,,,33.79,,,,,,,,,,,,,,,,
"Chemung County, dba: C TRAN",48,0,84148.0,411.0,31.7,,,,,,,,,,,,,,,,
Chenango County,18,0,,,,,,,,,,,,,,,,,,,
Cherokee County,14,0,,,,,,,,,,,,,,,,,,,
Cherokee County Board of Commissioners,38,0,235900.0,422.0,2553.04,,,,,,,,,,,,,,,,
Cheyenne & Arapaho Tribes,6,0,,,0.0,,,,,,,,,,,,,,,,
Cheyenne County,1,0,,,,,,,,,,,,,,,,,,,
Cheyenne River Sioux Tribe,11,0,,,0.0,,,,,,,,,,,,,,,,
Chicago Transit Authority,4360,115480485,3207635.0,310.0,2337.89,13403932.0,0.0,0.0,0.0,0.0,0.0,373727434.0,302556.0,13403932.0,374029990.0,50066.0,Chicago,IL,"Chicago, IL--IN",,
Chicago Water Taxi (Wendella),2,600,69764.0,89.0,2337.89,1174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174.0,0.0,50521.0,Chicago,IL,"Chicago, IL--IN",,17.0
Chickaloon Native Village,2,0,,,0.0,,,,,,,,,,,,,,,,
Chickasaw Nation,34,0,,,0.0,,,,,,,,,,,,,,,,
Chillicothe Transit System,42,0,,,,,,,,,,,,,,,,,,,
Chilton County Commission,6,0,,,,,,,,,,,,,,,,,,,
Chippewa Cree Tribe,8,0,,,0.0,,,,,,,,,,,,,,,,
Choanoke Public Transportation Authority,8,0,,,,,,,,,,,,,,,,,,,
Choctaw Nation of Oklahoma,34,0,,,0.0,,,,,,,,,,,,,,,,
Churchill Area Regional Transit,9,0,,,,,,,,,,,,,,,,,,,
Cities Area Transit,44,650859,61298.0,26.0,26.48,15036.0,31632.0,0.0,0.0,35085.0,0.0,0.0,0.0,81753.0,0.0,80008.0,Grand Forks,ND,"Grand Forks, ND--MN",,56.0
Citizen Potawatomi Nation,7,0,,,0.0,,,,,,,,,,,,,,,,
City  of Crawford,3,0,,,,,,,,,,,,,,,,,,,
"City Of Burlington, dba: Link Transit",14,0,66223.0,35.0,92.02,,,,,,,,,,,,,,,,
City Of McCook Public Transit,2,0,,,,,,,,,,,,,,,,,,,
City Of Sidney,2,0,76000.0,35.0,,,,,,,,,,,,,,,,,
City Of Tecumseh,1,0,,,,,,,,,,,,,,,,,,,
City and Borough of Juneau,36,0,,,,,,,,,,,,,,,,,,,
"City and County of Honolulu, dba: City & County of Honolulu DTS",3415,28104136,1016508.0,277.0,144.97,,,,,,,,,,,,,,,,
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency",4512,23732735,842754.0,49.0,513.8,3509051.0,216967.0,0.0,0.0,0.0,0.0,87343650.0,35385.0,3726018.0,87379035.0,90015.0,San Francisco,CA,"San Francisco--Oakland, CA",,
City of  Chadron,2,0,,,,,,,,,,,,,,,,,,,
City of  Ottawa,20,0,,,,,,,,,,,,,,,,,,,
City of Aberdeen - Aberdeen Ride Line,13,0,,,,,,,,,,,,,,,,,,,
"City of Abilene , dba: CityLink Transit",84,0,120099.0,110.0,61.97,,,,,,,,,,,,,,,,
City of Agoura Hills,3,0,20330.0,8.0,1636.83,,,,,,,,,,,,,,,,
City of Albany,30,0,50724.0,20.0,23.05,,,,,,,,,,,,,,,,
"City of Albany , dba: Albany Transit System",30,488871,75616.0,17.0,66.51,0.0,1902.0,0.0,158099.0,0.0,0.0,0.0,0.0,160001.0,0.0,40021.0,,GA,"Albany, GA",,38.99
"City of Albuquerque, dba: ABQRIDE",462,7075190,661629.0,235.0,263.07,1006053.0,309825.0,0.0,207621.0,0.0,0.0,0.0,41205.0,1523499.0,41205.0,60019.0,Albuquerque,NM,"Albuquerque, NM",,407.32
City of Alexandria,206,2878581,159200.0,28.0,1294.51,,,,,,,,,,,30071.0,Alexandria,VA,"Washington--Arlington, DC--VA--MD",,288.0
"City of Alhambra, dba: Alhambra Community Transit  aka ACT",30,0,83089.0,8.0,1636.83,,,,,,,,,,,,,,,,
City of Alliance,5,0,,,,,,,,,,,,,,,,,,,
"City of Amarillo, dba: Amarillo City Transit",44,0,200393.0,74.0,83.99,,,,,,,,,,,,,,,,
City of Americus,4,0,,,,,,,,,,,,,,,,,,,
"City of Anderson , dba: City of Anderson Transit System",24,0,55076.0,45.0,52.17,,,,,,,,,,,,,,,,
"City of Anderson , dba: Electric City Transit",6,0,27293.0,15.0,95.94,,,,,,,,,,,,,,,,
"City of Annapolis, dba: Annapolis Department of Transportation",22,0,97649.0,20.0,654.93,,,,,,,,,,,,,,,,
"City of Appleton, dba: Valley Transit",141,1708375,230967.0,117.0,107.78,139881.0,57934.0,0.0,0.0,0.0,0.0,0.0,0.0,197815.0,0.0,50001.0,Appleton,WI,"Appleton, WI",,55.0
"City of Arcadia, dba: Arcadia Transit",28,0,56364.0,11.0,1636.83,,,,,,,,,,,,,,,,
City of Arcata,2,0,,,,,,,,,,,,,,,,,,,
"City of Arlington, dba: Arlington Transportation",318,946430,400032.0,199.0,1746.9,6153.0,84359.0,0.0,0.0,0.0,0.0,0.0,0.0,90512.0,0.0,60041.0,Arlington,TX,"Dallas--Fort Worth--Arlington, TX",,28.0
City of Artesia,5,0,16736.0,2.0,1636.83,,,,,,,,,,,,,,,,
City of Arvin,8,0,,,,,,,,,,,,,,,,,,,
"City of Asheville, dba: ART (Asheville Redefines Transit)",19,1294356,93350.0,45.0,248.58,,,,,,,,,,,,,,,,
"City of Ashland, dba: Ashland Bus System",24,0,23540.0,17.0,128.87,,,,,,,,,,,,,,,,
"City of Atascadero, dba: Atascadero Dial A Ride",2,0,30418.0,25.0,29.96,,,,,,,,,,,,,,,,
City of Auburn,12,0,,,,,,,,,,,,,,,,,,,
City of Avalon,8,0,3801.0,1.0,0.0,,,,,,,,,,,,,,,,
City of Azusa,6,0,46361.0,9.0,1636.83,,,,,,,,,,,,,,,,
"City of Baldwin Park, dba: Baldwin Park Transit",16,0,76056.0,7.0,1636.83,,,,,,,,,,,,,,,,
City of Baltimore,42,544941,621849.0,81.0,654.93,,,,,,,,,,,,,,,,
City of Bangor,34,0,55500.0,29.0,51.12,,,,,,,,,,,,,,,,
City of Baraboo,5,0,,,,,,,,,,,,,,,,,,,
City of Bath,2,0,,,,,,,,,,,,,,,,,,,
"City of Battle Creek, dba: Battle Creek Transit",44,0,87735.0,73.0,47.33,,,,,,,,,,,,,,,,
"City of Beaumont, dba: Beaumont Municipal Transit System",36,894639,82731.0,41.0,96.1,22317.0,0.0,0.0,227487.0,0.0,0.0,0.0,0.0,249804.0,0.0,,,,,,
City of Beaver Dam,13,0,,,,,,,,,,,,,,,,,,,
"City of Bedford, dba: Transit Authority of Stone City",5,0,,,,,,,,,,,,,,,,,,,
City of Bell,30,0,35731.0,3.0,1636.83,,,,,,,,,,,,,,,,
City of Bell Gardens,10,0,42889.0,2.0,1636.83,,,,,,,,,,,,,,,,
City of Bellflower,8,0,79190.0,6.0,1636.83,,,,,,,,,,,,,,,,
"City of Beloit, dba: Beloit Transit System",20,0,35871.0,16.0,31.94,,,,,,,,,,,,,,,,
City of Benson,6,0,,,,,,,,,,,,,,,,,,,
City of Berlin,4,0,,,,,,,,,,,,,,,,,,,
City of Bethel,1,0,,,,,,,,,,,,,,,,,,,
"City of Bettendorf, dba: Bettendorf Transit System",3,0,39102.0,22.0,134.86,,,,,,,,,,,,,,,,
City of Beverly,3,0,42312.0,25.0,1655.89,,,,,,,,,,,,,,,,
City of Beverly Hills,4,0,34484.0,6.0,1636.83,,,,,,,,,,,,,,,,
"City of Billings, dba: Metropolitan Transit System",56,841212,110323.0,44.0,54.7,,,,,,,,,,,80004.0,Billings,MT,"Billings, MT",,54.8
City of Bisbee,3,0,,,,,,,,,,,,,,,,,,,
"City of Black Hawk, dba: The Black Hawk & Central City Tramway",3,0,,,,,,,,,,,,,,,,,,,
City of Black River Falls,3,0,,,,,,,,,,,,,,,,,,,
City of Bloomfield,2,0,,,,,,,,,,,,,,,,,,,
City of Bonner Springs,1,0,,,714.1,,,,,,,,,,,,,,,,
City of Bowling Green,32,0,72294.0,15.0,52.18,,,,,,,,,,,,,,,,
City of Brandon - Brandon City Transit,2,0,,,,,,,,,,,,,,,,,,,
"City of Bristol Tennessee, dba: Bristol Tennessee Transit System",14,0,27235.0,33.0,68.69,,,,,,,,,,,,,,,,
"City of Bristol Virginia, dba: Bristol Virginia Transit",12,0,17219.0,13.0,68.69,,,,,,,,,,,,,,,,
City of Broken Bow,1,0,,,,,,,,,,,,,,,,,,,
"City of Brownsville , dba: Brownsville Metro",48,947215,181860.0,164.0,62.1,191613.0,33274.0,0.0,0.0,0.0,0.0,0.0,0.0,224887.0,0.0,60014.0,Brownsville,TX,"Brownsville, TX",,90.0
"City of Bullhead, dba: Bullhead Area Transit System",20,0,,,35.39,,,,,,,,,,,,,,,,
City of Burbank,34,0,105401.0,17.0,1636.83,,,,,,,,,,,,,,,,
"City of Burlington, dba: Outback Express",1,0,,,,,,,,,,,,,,,,,,,
City of Calabasas,30,0,24075.0,13.0,1636.83,,,,,,,,,,,,,,,,
City of California City,2,0,,,,,,,,,,,,,,,,,,,
"City of Camarillo, dba: Camarillo Area Transit",36,0,68374.0,20.0,22.48,,,,,,,,,,,,,,,,
City of Canby,20,0,,,519.3,,,,,,,,,,,,,,,,
City of Carlsbad,28,0,,,,,,,,,,,,,,,,,,,
City of Carson,57,0,93535.0,19.0,1636.83,,,,,,,,,,,,,,,,
City of Carthage,2,0,,,,,,,,,,,,,,,,,,,
City of Casper,44,0,57561.0,93.0,27.88,,,,,,,,,,,,,,,,
"City of Cedar Rapids, dba: Cedar Rapids Transit",52,1157118,158890.0,78.0,86.03,200015.0,18142.0,0.0,0.0,0.0,0.0,0.0,0.0,218157.0,0.0,70008.0,Cedar Rapids,IA,"Cedar Rapids, IA",,56.05
City of Cedartown,1,0,,,,,,,,,,,,,,,,,,,
City of Cerritos,32,0,49578.0,9.0,1636.83,,,,,,,,,,,,,,,,
"City of Charlotte North Carolina, dba: Charlotte Area Transit System",1734,15267132,1306574.0,675.0,657.61,2282352.0,36560.0,0.0,0.0,0.0,0.0,15279951.0,122407.0,2318912.0,15402358.0,40008.0,Charlotte,NC,"Charlotte, NC--SC",,379.26
"City of Charlottesville, dba: Charlottesville Area Transit",19,0,85755.0,38.0,36.87,,,,,,,,,,,,,,,,
"City of Chippewa Falls, dba: Chippewa Falls Shared Ride Taxi",8,0,14731.0,11.0,62.5,,,,,,,,,,,,,,,,
City of Chowchilla,2,0,,,,,,,,,,,,,,,,,,,
"City of Cincinnati, dba: Cincinnati Bell Connector",4,89155,21692.0,3.0,752.28,,,,,,,,,,,,,,,,
"City of Claremont, dba: Claremont Dial-a-Ride",44,0,36700.0,13.0,1636.83,,,,,,,,,,,,,,,,
"City of Clarksville, dba: Clarksville Transit System",58,0,135471.0,105.0,113.09,,,,,,,,,,,,,,,,
City of Cleburne,30,0,171361.0,725.0,1746.9,,,,,,,,,,,,,,,,
"City of Clemson, dba: Clemson Area Transit",18,674809,27983.0,17.0,95.94,79003.0,0.0,0.0,0.0,0.0,0.0,0.0,388109.0,79003.0,388109.0,40208.0,Clemson,SC,"Anderson--Clemson, SC",,55.0
City of Clinton,4,0,,,,,,,,,,,,,,,,,,,
City of Clovis,8,0,,,,,,,,,,,,,,,,,,,
City of Coconut Creek,4,0,61361.0,12.0,1244.18,,,,,,,,,,,,,,,,
"City of Colorado Springs, dba: Mountain Metropolitan Transit",380,3722824,417843.0,131.0,200.36,496889.0,108987.0,0.0,0.0,0.0,0.0,0.0,112671.0,605876.0,112671.0,80005.0,Colorado Springs,CO,"Colorado Springs, CO",,1.17
"City of Columbia, dba: Go COMO",50,666245,126853.0,67.0,67.2,0.0,36477.0,0.0,36214.0,63375.0,0.0,0.0,105910.0,136066.0,105910.0,70016.0,Columbia,MO,"Columbia, MO",,54.0
City of Columbus Transit,5,0,,,,,,,,,,,,,,,,,,,
"City of Columbus, dba: ColumBus Transit",18,0,44634.0,27.0,27.86,,,,,,,,,,,,,,,,
"City of Commerce, dba: City of Commerce Municipal Buslines",28,452573,12997.0,11.0,1636.83,,,,,,,,,,,90043.0,Commerce,CA,"Los Angeles--Long Beach--Anaheim, CA",,79.25
"City of Compton  , dba: Compton Renaissance Transit Service",14,0,96803.0,10.0,1636.83,,,,,,,,,,,,,,,,
"City of Concord, dba: Concord Kannapolis Area Transit (Rider)",24,0,113639.0,78.0,200.06,,,,,,,,,,,,,,,,
City of Conroe,27,0,89956.0,53.0,219.14,,,,,,,,,,,,,,,,
"City of Coolidge, dba: Cotton Express",16,0,,,,,,,,,,,,,,,,,,,
City of Coral Springs,2,0,129485.0,24.0,1244.18,,,,,,,,,,,,,,,,
City of Coralville,14,205841,43824.0,22.0,50.83,,,,,,,,,,,,,,,,
City of Corcoran,6,0,,,,,,,,,,,,,,,,,,,
City of Corning,5,0,,,,,,,,,,,,,,,,,,,
City of Corona,20,0,168112.0,39.0,608.56,,,,,,,,,,,,,,,,
"City of Corvallis, dba: Corvallis Transit System",22,0,62272.0,14.0,17.45,,,,,,,,,,,,,,,,
City of Cottage Grove,14,0,,,,,,,,,,,,,,,,,,,
City of Cottonwood,18,0,,,,,,,,,,,,,,,,,,,
City of Covina,5,0,48508.0,8.0,1636.83,,,,,,,,,,,,,,,,
"City of Cripple Creek, dba: Cripple Creek Transit",14,0,,,,,,,,,,,,,,,,,,,
City of Cudahy,12,0,24103.0,1.0,1636.83,,,,,,,,,,,,,,,,
"City of Culver City, dba: Culver City Municipal Bus Lines",78,1462776,529532.0,43.0,1636.83,0.0,0.0,0.0,642723.0,0.0,0.0,0.0,41109.0,642723.0,41109.0,90039.0,Culver City,CA,"Los Angeles--Long Beach--Anaheim, CA",,143.66
City of Dania Beach,2,0,31446.0,8.0,1244.18,,,,,,,,,,,,,,,,
City of Danville Mass Transit System,34,0,,,,,,,,,,,,,,,,,,,
"City of Danville, dba: Danville Mass Transit",24,0,88517.0,34.0,46.52,,,,,,,,,,,,,,,,
"City of Davenport, dba: Davenport Citibus",30,0,101724.0,26.0,134.86,,,,,,,,,,,,,,,,
"City of Davis, dba: Davis Community Transit",3,0,69289.0,21.0,12.16,,,,,,,,,,,,,,,,
City of DeKalb,64,1093964,50091.0,19.0,25.63,,,,,,,,,,,,,,,,
City of DeRidder/Beauregard Transit,5,0,0.0,0.0,,,,,,,,,,,,,,,,,
"City of Decatur, Il, dba: Decatur Public Transit System",46,1052325,74746.0,53.0,55.11,0.0,18279.0,0.0,0.0,181403.0,0.0,0.0,0.0,199682.0,0.0,,,,,,
"City of Deerfield Beach, dba: Northeast Focal Point",4,0,78881.0,16.0,1244.18,,,,,,,,,,,,,,,,
City of Del Rio Transportation,34,0,,,,,,,,,,,,,,,,,,,
City of Delano,20,0,53041.0,50.0,0.0,,,,,,,,,,,,,,,,
City of Derby,1,0,26666.0,10.0,226.84,,,,,,,,,,,,,,,,
"City of Detroit , dba: Detroit Department of Transportation",412,12452795,713777.0,144.0,1284.83,2066738.0,139256.0,0.0,0.0,0.0,0.0,0.0,17737.0,2205994.0,17737.0,50119.0,Detroit,MI,"Detroit, MI",,691.0
City of Dillon,2,0,,,,,,,,,,,,,,,,,,,
City of Dixon,10,0,,,,,,,,,,,,,,,,,,,
City of Dodge City,12,0,,,,,,,,,,,,,,,,,,,
City of Douglas,14,0,,,,,,,,,,,,,,,,,,,
City of Downey,28,0,111645.0,13.0,1636.83,,,,,,,,,,,,,,,,
City of Dubuque,40,0,60140.0,26.0,34.17,,,,,,,,,,,,,,,,
"City of Durango, dba: Durango Transit",24,0,,,,,,,,,,,,,,,,,,,
"City of Durham, dba: GoDurham",273,3294191,283506.0,93.0,183.36,552498.0,118910.0,0.0,0.0,0.0,0.0,0.0,79831.0,671408.0,79831.0,,,,,,
"City of East Chicago, dba: East Chicago Transit",6,0,26370.0,11.0,2337.89,,,,,,,,,,,,,,,,
"City of Eau Claire, dba: Eau Claire Transit",84,1107672,78258.0,28.0,62.5,127144.0,21209.0,0.0,0.0,0.0,0.0,0.0,0.0,148353.0,0.0,50099.0,Eau Claire,WI,"Eau Claire, WI",,42.0
City of Edgerton,1,0,,,,,,,,,,,,,,,,,,,
City of Edmond,30,0,97032.0,90.0,421.73,,,,,,,,,,,,,,,,
City of El Dorado Springs,2,0,,,,,,,,,,,,,,,,,,,
"City of El Monte , dba: City of El Monte Transportation Division",56,0,201889.0,10.0,1636.83,,,,,,,,,,,,,,,,
"City of El Paso, dba: Sun Metro",501,7598072,772374.0,234.0,255.88,0.0,13261.0,0.0,1950845.0,0.0,0.0,301977.0,0.0,1964106.0,301977.0,60006.0,El Paso,TX,"El Paso, TX--NM",,515.0
City of Escalon,4,0,,,,,,,,,,,,,,,,,,,
City of Eufaula,3,0,,,,,,,,,,,,,,,,,,,
"City of Eureka , dba: Eureka Transit Service",18,0,,,,,,,,,,,,,,,,,,,
"City of Eureka Springs Transit (EST), dba: Eureka Springs Transit",26,0,,,,,,,,,,,,,,,,,,,
"City of Everett, dba: EVERETT TRANSIT",84,1625002,110629.0,34.0,982.52,228348.0,60534.0,0.0,0.0,0.0,0.0,0.0,705874.0,288882.0,705874.0,5.0,Everett,WA,"Seattle--Tacoma, WA",,155.5
City of Excelsior Springs,4,0,,,,,,,,,,,,,,,,,,,
"City of Fairfax, dba: CUE Bus",8,446036,22565.0,6.0,1294.51,94852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94852.0,0.0,30058.0,Fairfax,VA,"Washington--Arlington, DC--VA--MD",,49.82
"City of Fairfield, California, dba: Fairfield and Suisun Transit",99,1511162,505849.0,129.0,40.81,,,,,,,,,,,,,,,,
"City of Fargo, dba: Metropolitan Area Transit",76,1224433,155620.0,45.0,77.73,188261.0,62886.0,0.0,0.0,0.0,0.0,0.0,0.0,251147.0,0.0,,,,,,
"City of Farmington, dba: Red Apple Transit",26,0,91738.0,306.0,32.62,,,,,,,,,,,,,,,,
"City of Fayetteville, dba: Fayetteville Area System of Transit",111,1630457,166900.0,95.0,195.92,251787.0,52921.0,4591.0,0.0,0.0,0.0,0.0,0.0,309299.0,0.0,40009.0,Fayetteville,NC,"Fayetteville, NC",,111.0
City of Fort Atkinson,7,0,,,,,,,,,,,,,,,,,,,
"City of Fort Collins, dba: Transfort",240,1454353,169810.0,54.0,117.98,0.0,0.0,20190.0,341867.0,0.0,0.0,0.0,36321.0,362057.0,36321.0,80011.0,Fort Collins,CO,"Fort Collins, CO",,145.1
City of Fort Lauderdale,22,178364,182760.0,17.0,1244.18,12669.0,33350.0,3019.0,0.0,0.0,0.0,0.0,0.0,49038.0,0.0,,,,,,
"City of Fort Smith, dba: Fort Smith Transit",20,0,86209.0,65.0,73.97,,,,,,,,,,,,,,,,
"City of Franklin , dba: Franklin Transit Authority",22,0,83097.0,22.0,584.95,,,,,,,,,,,,,,,,
"City of Fredericksburg, dba: Fredericksburg Regional Transit",20,0,113716.0,242.0,89.62,,,,,,,,,,,,,,,,
City of Freeport,15,0,,,,,,,,,,,,,,,,,,,
"City of Fresno, dba: Fresno Area Express",290,6072190,591531.0,154.0,159.11,0.0,160447.0,0.0,1596288.0,0.0,0.0,0.0,46369.0,1756735.0,46369.0,90027.0,Fresno,CA,"Fresno, CA",,407.0
City of Gadsden,24,0,61709.0,37.0,61.21,,,,,,,,,,,,,,,,
"City of Gainesville, FL, dba: Regional Transit System",426,3929003,163990.0,76.0,87.7,810323.0,97021.0,0.0,0.0,0.0,0.0,0.0,49380.0,907344.0,49380.0,40030.0,Gainesville,FL,"Gainesville, FL",,278.0
"City of Gainesville, dba: Hall Area Transit",32,0,199999.0,361.0,149.13,,,,,,,,,,,,,,,,
City of Galesburg,20,0,,,,,,,,,,,,,,,,,,,
"City of Galveston , dba: City of Galveston Island Transit",39,248396,50307.0,32.0,108.98,,,,,,,,,,,60015.0,Galveston,TX,"Galveston--Texas City, TX",,42.5
"City of Gardena, dba: GTrans",60,1210726,816700.0,88.0,1636.83,0.0,240109.0,0.0,185437.0,0.0,0.0,0.0,26885.0,425546.0,26885.0,90042.0,Gardena,CA,"Los Angeles--Long Beach--Anaheim, CA",,152.81
"City of Gastonia, dba: Gastonia Transit",18,0,82145.0,45.0,124.58,,,,,,,,,,,,,,,,
City of Gatlinburg,5,0,,,,,,,,,,,,,,,,,,,
City of Glendale,118,1351915,248267.0,59.0,1636.83,7304.0,61517.0,1895.0,0.0,0.0,0.0,0.0,0.0,70716.0,0.0,90034.0,Glendale,AZ,"Phoenix--Mesa--Scottsdale, AZ",,41.79
City of Glendale,118,1351915,248267.0,59.0,1636.83,0.0,13600.0,0.0,354288.0,0.0,0.0,0.0,0.0,367888.0,0.0,90034.0,Glendale,AZ,"Phoenix--Mesa--Scottsdale, AZ",,41.79
City of Glendora,30,0,51569.0,19.0,1636.83,,,,,,,,,,,,,,,,
"City of Glens Falls , dba: Greater Glens Falls Transit",12,0,61090.0,57.0,51.62,,,,,,,,,,,,,,,,
"City of Glenwood Springs, dba: Ride Glenwood Springs",2,0,,,,,,,,,,,,,,,,,,,
City of Goodland,1,0,,,,,,,,,,,,,,,,,,,
"City of Grand Prairie , dba: Grand Connection",8,0,196100.0,81.0,1746.9,,,,,,,,,,,,,,,,
City of Great Bend/Commission on Aging,4,0,,,,,,,,,,,,,,,,,,,
"City of Green Bay, dba: Green Bay Metro",54,1179483,176664.0,90.0,113.66,142415.0,37131.0,0.0,0.0,0.0,0.0,0.0,0.0,179546.0,0.0,50002.0,Green Bay,WI,"Green Bay, WI",,39.0
"City of Greensboro , dba: Greensboro Transit Authority",152,3941522,297878.0,136.0,169.31,,,,,,,,,,,,,,,,
"City of Greenville, dba:  Greenville Area Transit",24,0,84554.0,35.0,66.38,,,,,,,,,,,,,,,,
City of Guadalupe,6,0,,,,,,,,,,,,,,,,,,,
City of Guntersville,4,0,,,,,,,,,,,,,,,,,,,
City of Guymon,5,0,,,,,,,,,,,,,,,,,,,
City of Hallandale Beach,5,0,39500.0,5.0,1244.18,,,,,,,,,,,,,,,,
"City of Harrisonburg, dba: Harrisonburg Department of Public Transportation",80,787587,53855.0,17.0,31.1,,,,,,,,,,,30094.0,Harrisonburg,VA,"Harrisonburg, VA",,131.5
City of Hartford,2,0,16076.0,8.0,0.0,,,,,,,,,,,,,,,,
"City of Hattiesburg, dba: Hub City Transit",20,0,51084.0,43.0,63.62,,,,,,,,,,,,,,,,
"City of Hazleton, dba: Hazleton Public Transit",22,0,61131.0,47.0,19.02,,,,,,,,,,,,,,,,
"City of Henderson, dba: Henderson Area Rapid Transit",10,0,28900.0,16.0,0.0,,,,,,,,,,,,,,,,
"City of High Point, dba: High Point Transit System",36,0,116065.0,95.0,100.79,,,,,,,,,,,,,,,,
"City of Hinesville, Georgia, dba: Liberty Transit",12,0,39396.0,32.0,37.23,,,,,,,,,,,,,,,,
City of Hobbs,12,0,,,,,,,,,,,,,,,,,,,
"City of Hot Springs, dba: Hot Springs Intracity Transit",12,0,37930.0,35.0,50.28,,,,,,,,,,,,,,,,
City of Houston,2,0,,,,,,,,,,,,,,,,,,,
"City of Huntingburg, dba: Huntingburg Transit System",3,0,,,,,,,,,,,,,,,,,,,
City of Huntington Park,38,0,58822.0,5.0,1636.83,,,,,,,,,,,,,,,,
"City of Huntsville, Alabama, dba: Department of Parking & Public Transit",64,1346943,114598.0,56.0,214.77,,,,,,,,,,,40071.0,Huntsville,AL,"Huntsville, AL",,95.34
City of Independence,48,0,116830.0,78.0,714.1,,,,,,,,,,,,,,,,
City of Inglewood,18,0,222357.0,21.0,1636.83,,,,,,,,,,,,,,,,
"City of Iowa City, dba: Iowa City Transit",42,732465,77554.0,26.0,50.83,170151.0,0.0,0.0,0.0,0.0,0.0,0.0,86400.0,170151.0,86400.0,70018.0,Iowa City,IA,"Iowa City, IA",,48.65
"City of Jackson Transportation Authority, dba: Jackson Area Transportation Authority",36,613376,160366.0,702.0,52.03,88847.0,21726.0,0.0,0.0,0.0,0.0,0.0,0.0,110573.0,0.0,50034.0,Jackson,MI,"Jackson, MI",,51.0
